Date,Open,High,Low,Close,Adjusted,Volume,Dividend,Split,Daily adjusted
2023-04-05,67.215,68.24,66.62,67.66,67.66,11371201,0.0000,1.0
2023-04-04,68.26,69.74,67.67,68.84,68.84,15229030,0.0000,1.0
2023-04-03,67.6,68.3899,65.805,67.83,67.83,16969841,0.0000,1.0
2023-03-31,68.59,70.32,68.05,68.65,68.65,17878468,0.0000,1.0
2023-03-30,68.99,70.53,67.79,68.49,68.49,21097692,0.0000,1.0
2023-03-29,64.805,67.21,64.56,66.49,66.49,17574593,0.0000,1.0
2023-03-28,64.0,65.85,63.5,63.76,63.76,17257753,0.0000,1.0
2023-03-27,62.46,65.11,61.55,64.4,64.4,33436715,0.0000,1.0
2023-03-24,59.75,61.57,59.1,60.68,60.68,48994433,0.0000,1.0
2023-03-23,60.0,65.75,56.5,61.88,61.88,140313854,0.0000,1.0
2023-03-22,77.15,77.15,72.61,72.65,72.65,17616515,0.0000,1.0
2023-03-21,75.84,77.97,75.72,77.46,77.46,10458733,0.0000,1.0
2023-03-20,73.39,75.64,72.69,74.5,74.5,10704491,0.0000,1.0
2023-03-17,74.945,75.23,73.09,73.98,73.98,9756165,0.0000,1.0
2023-03-16,76.12,76.5,73.81,75.09,75.09,11457632,0.0000,1.0
2023-03-15,72.44,74.14,71.67,74.07,74.07,9832228,0.0000,1.0
2023-03-14,71.675,73.86,71.4,73.63,73.63,13136711,0.0000,1.0
2023-03-13,70.0,71.1,67.25,69.46,69.46,14357360,0.0000,1.0
2023-03-10,70.61,73.58,68.47,71.01,71.01,18383058,0.0000,1.0
2023-03-09,77.82,79.6199,73.5,73.8,73.8,12475188,0.0000,1.0
2023-03-08,77.97,78.69,75.83,77.95,77.95,8610498,0.0000,1.0
2023-03-07,80.48,81.4,77.93,78.04,78.04,8082827,0.0000,1.0
2023-03-06,81.4,83.08,80.29,80.81,80.81,10328557,0.0000,1.0
2023-03-03,78.67,81.13,77.65,80.88,80.88,11059712,0.0000,1.0
2023-03-02,75.44,78.59,74.545,78.04,78.04,10129929,0.0000,1.0
2023-03-01,76.31,76.73,74.65,76.63,76.63,10075860,0.0000,1.0
